gene	expression_proximity_product_sum	seqid	source	type	start	end	score	strand	phase	attributes	nectophore_developing	gastrozooid_mature	palpon_mature	gastrozooid_developing	palpon_developing	gonodendron_female_mature	pneumatophore_mature	gonodendron_male_mature	max_treatment
ANN00008	3.5913893388874545	NSv0.8_hap2_LG1	maker	gene	1949882	1957603	.	-	.	ID=ANN00008;Note=Similar to pol: RNA-directed DNA polymerase from mobile element jockey (Drosophila melanogaster OX%3D7227);	4.31576113668914	0.29124546712794	2.72207941104418	0.129424525827269	0.0	0.251339111369662	2.06512293359386	339.57086320318	gonodendron_male_mature
ANN00010	4.271566898519872	NSv0.8_hap2_LG1	maker	gene	2152333	2154192	.	+	.	ID=ANN00010;Note=Similar to ELL3: RNA polymerase II elongation factor ELL3 (Bos taurus OX%3D9913);	737.187066886184	764.95215266791	1892.29702809752	735.806583221969	810.664219907583	884.74896528552	2437.40658825997	7693.89658805352	gonodendron_male_mature
ANN00013	3.8946498193145116	NSv0.8_hap2_LG1	maker	gene	2319435	2320499	.	-	.	ID=ANN00013;Note=Similar to Sh3gl2: Endophilin-A1 (Mus musculus OX%3D10090);	77.5490666972049	99.828829359293	81.3718307299303	101.950538640417	115.203359151166	117.500140306358	192.986992769893	3582.33218092063	gonodendron_male_mature
ANN00018	-2.1010299457094526	NSv0.8_hap2_LG1	maker	gene	2765866	2774978	.	-	.	ID=ANN00018;Note=Similar to dmrta2: Doublesex- and mab-3-related transcription factor A2 (Takifugu rubripes OX%3D31033);	3.10997952907039	265.66098145883	4.61943436065768	80.1243252155344	14.33295261734	0.0	4.17582532751323	0.0	gastrozooid_mature
ANN00019	-5.077738033365945	NSv0.8_hap2_LG1	maker	gene	2830906	2832027	.	-	.	ID=ANN00019;Note=Similar to PPP1R8: Nuclear inhibitor of protein phosphatase 1 (Homo sapiens OX%3D9606);	266.149555911031	264.908348856587	99.950542156554	354.960218855079	282.619475879452	973.474047952549	146.542342117061	13.5736052256328	gonodendron_female_mature
ANN00026	0.7418709676074388	NSv0.8_hap2_LG1	maker	gene	2921188	2922633	.	-	.	ID=ANN00026;Note=Similar to Acp2: Lysosomal acid phosphatase (Rattus norvegicus OX%3D10116);	0.0	316.920407766177	1097.67774389849	24.2864511555433	434.653000528318	0.0	0.0	0.0	palpon_mature
ANN00030	4.657739264314933	NSv0.8_hap2_LG1	maker	gene	3218562	3230927	.	-	.	ID=ANN00030;Note=Similar to Mpi: Mannose-6-phosphate isomerase (Mus musculus OX%3D10090);	161.70404460754	214.516718286728	333.555381427551	162.130738106844	220.021315606803	77.685216676382	1297.56916298564	1412.19511572146	gonodendron_male_mature
ANN00031	4.921451832168952	NSv0.8_hap2_LG1	maker	gene	3292342	3298367	.	-	.	ID=ANN00031;Note=Protein of unknown function;	1.19786365714454	0.0	0.0	1.80134915472462	1.32310200124134	5.21241612062207	0.0	670.634504707431	gonodendron_male_mature
ANN00033	1.5821796523696388	NSv0.8_hap2_LG1	maker	gene	3406629	3409826	.	+	.	ID=ANN00033;Note=Similar to drpr: Protein draper (Drosophila melanogaster OX%3D7227);	2.23662542488089	53.2890062081493	276.492656809352	9.06429932108207	23.3086433216013	1.66454804478573	14.7750766608915	0.0	palpon_mature
ANN00037	1.199667883655	NSv0.8_hap2_LG1	maker	gene	3666764	3677095	.	-	.	ID=ANN00037;Note=Similar to SIK2: Serine/threonine-protein kinase SIK2 (Homo sapiens OX%3D9606);	313.434716727121	654.473254367379	930.987283179828	324.24580460982	380.387561008011	201.080403305572	1564.31166596415	347.394911659995	pneumatophore_mature
ANN00038	4.822820733642519	NSv0.8_hap2_LG1	maker	gene	3795138	3797480	.	+	.	ID=ANN00038;Note=Protein of unknown function;	51.9832166363172	0.0	0.0	0.0	0.0	0.0	0.0	218.531280598546	gonodendron_male_mature
ANN00040	2.4497760525567336	NSv0.8_hap2_LG1	maker	gene	3832092	3856254	.	-	.	ID=ANN00040;Note=Protein of unknown function;	109.118974806181	119.243081821351	1280.1567830249	112.46986235661	116.043531725924	124.242003154531	99.0512312672632	212.389275357108	palpon_mature
ANN00046	-0.2307195556437509	NSv0.8_hap2_LG1	maker	gene	4542730	4549631	.	-	.	ID=ANN00046;Note=Similar to Tfpi2: Tissue factor pathway inhibitor 2 (Mus musculus OX%3D10090);	63.051437158666	5.96778515286336	26.5412167420829	26.4075879042354	41.7332375636802	26.3338985116847	285.392819054511	47.7609015384544	pneumatophore_mature
ANN00047	1.9499946199107154	NSv0.8_hap2_LG1	maker	gene	4554900	4593546	.	-	.	ID=ANN00047;Note=Protein of unknown function;	262.411512754503	20.9358541114822	140.30575425628	173.048480037612	272.960419976615	150.658985214875	1081.54873507533	565.29651145196	pneumatophore_mature
ANN00048	-7.6799566306530105	NSv0.8_hap2_LG1	maker	gene	4654359	4655513	.	+	.	ID=ANN00048;Note=Similar to prmt1: Protein arginine N-methyltransferase 1 (Xenopus tropicalis OX%3D8364);	1898.27810538393	844.143602995145	300.839175531305	2488.80241080116	1965.45082066885	4005.56779442885	515.053763668978	27.1975316064965	gonodendron_female_mature
ANN00053	-3.968270230975293	NSv0.8_hap2_LG1	maker	gene	4993118	4995277	.	+	.	ID=ANN00053;Note=Similar to PLOD1: Procollagen-lysine%2C2-oxoglutarate 5-dioxygenase 1 (Gallus gallus OX%3D9031);	762.542366654413	69.1770298830298	5.49669347388418	34.3781530875797	39.4654268269314	33.7771875379144	171.91664402176	13.3591741982	nectophore_developing
ANN00054	1.4769418801108731	NSv0.8_hap2_LG1	maker	gene	5052209	5053420	.	+	.	ID=ANN00054;Note=Protein of unknown function;	0.715188835295103	20.4300643913831	20826.2960425216	4.54092303164775	3823.72454002203	2.51026227033749	0.412645732381072	6.6543782977055	palpon_mature
ANN00056	0.5430486786637663	NSv0.8_hap2_LG1	maker	gene	5078123	5088191	.	-	.	ID=ANN00056;Note=Similar to SLC5A7: High affinity choline transporter 1 (Homo sapiens OX%3D9606);	52.1243964810002	659.071932155596	629.016591382816	92.7142887920446	256.057453048789	21.7506491648799	81.7034545170793	68.427365759321	gastrozooid_mature
ANN00061	2.216121150868854	NSv0.8_hap2_LG1	maker	gene	5441687	5443929	.	+	.	ID=ANN00061;Note=Similar to MFSD6: Major facilitator superfamily domain-containing protein 6 (Sus scrofa OX%3D9823);	3.5794712830587	34.1112878616775	464.451394062353	7.40629757440239	66.2287844909418	13.3243842726638	53.6974233411054	43.6479381423652	palpon_mature
ANN00062	-7.558441646231182	NSv0.8_hap2_LG1	maker	gene	5464963	5472076	.	-	.	ID=ANN00062;Note=Protein of unknown function;	603.099515656002	120.421969944865	155.819057570613	466.6686235709	447.649295634994	102.117453452358	236.35213973582	0.0	nectophore_developing
ANN00064	-1.2732549679228353	NSv0.8_hap2_LG1	maker	gene	5642955	5648968	.	+	.	ID=ANN00064;Note=Similar to gelsolin: Gelsolin-like protein 2 (Lumbricus terrestris OX%3D6398);	122.406749377824	741.685300647615	0.0	93.2115002287096	76.342923536516	194.542961674401	416.691161701486	126.903426026213	gastrozooid_mature
ANN00073	7.223702677894099	NSv0.8_hap2_LG1	maker	gene	6636084	6649486	.	-	.	ID=ANN00073;Note=Protein of unknown function;	1.8913361914332	1.53100315127226	3.74061457847324	1.93530536971293	1.62207274575915	0.569169399743353	3.64852663954428	11689.4201206036	gonodendron_male_mature
ANN00078	0.503036681196654	NSv0.8_hap2_LG1	maker	gene	6843190	6872125	.	-	.	ID=ANN00078;Note=Similar to ADGRG2: Adhesion G-protein coupled receptor G2 (Homo sapiens OX%3D9606);	40.3531053809551	216.508153671637	379.922338342243	58.12360843553	116.583042847399	9.68686770935928	6.39949891846958	34.1170577031277	palpon_mature
ANN00079	7.2533968230298616	NSv0.8_hap2_LG1	maker	gene	7012499	7013569	.	+	.	ID=ANN00079;Note=Similar to kmt5a-a: N-lysine methyltransferase KMT5A-A (Xenopus laevis OX%3D8355);	154.438307806791	85.6674028122835	46.9774881770766	196.433396283658	153.491421555472	155.453548361688	65.0705911323571	4181.23449303785	gonodendron_male_mature
ANN00082	7.871253410472242	NSv0.8_hap2_LG1	maker	gene	7124963	7141855	.	-	.	ID=ANN00082;Note=Similar to DNAH10: Dynein heavy chain 10%2C axonemal (Homo sapiens OX%3D9606);	173.787626110822	512.130137316505	732.959525793005	192.922688603827	439.744212774319	186.92416749199	412.756293979176	5995.78451394421	gonodendron_male_mature
ANN00083	7.350057301132292	NSv0.8_hap2_LG1	maker	gene	7319855	7320922	.	-	.	ID=ANN00083;Note=Similar to Twf1: Twinfilin-1 (Mus musculus OX%3D10090);	78.3636438775027	146.962952107555	161.848550410725	144.136303851209	187.151130719533	309.73113249809	200.22717474949	941.457983505834	gonodendron_male_mature
ANN00084	7.479387189298775	NSv0.8_hap2_LG1	maker	gene	7323331	7323870	.	-	.	ID=ANN00084;Note=Similar to ARL3: ADP-ribosylation factor-like protein 3 (Taeniopygia guttata OX%3D59729);	201.066460078142	455.434076768109	326.974091649569	286.148724999942	320.865542822957	803.124878614074	302.121452524886	4982.50891669769	gonodendron_male_mature
ANN00086	-8.382069977484585	NSv0.8_hap2_LG1	maker	gene	7465768	7468212	.	+	.	ID=ANN00086;Note=Similar to ncbp1-b: Nuclear cap-binding protein subunit 1-B (Xenopus laevis OX%3D8355);	549.593865731413	512.790598262738	232.347244255452	861.551203706911	640.393504630329	1168.3022889922	416.441003031095	91.064730268445	gonodendron_female_mature
ANN00090	7.8023919749464685	NSv0.8_hap2_LG1	maker	gene	8045338	8049718	.	+	.	ID=ANN00090;Note=Similar to RER1: Protein RER1 (Gallus gallus OX%3D9031);	286.606508972757	441.133905605533	407.455322252512	330.160877210019	403.488551489734	236.721363915782	661.106820357698	4916.14910034126	gonodendron_male_mature
ANN00093	7.636197247166432	NSv0.8_hap2_LG1	maker	gene	8372163	8372423	.	+	.	ID=ANN00093;Note=Similar to emre-1: Essential MCU regulator%2C mitochondrial (Caenorhabditis elegans OX%3D6239);	64.9589304225118	85.2549846490433	92.6888623117291	43.9264394880913	61.5786937408226	69.3553318849437	71.9180842691588	4039.06697919329	gonodendron_male_mature
ANN00094	-2.5650392927652215	NSv0.8_hap2_LG1	maker	gene	8395840	8405258	.	+	.	ID=ANN00094;Note=Similar to 4CLL7: 4-coumarate--CoA ligase-like 7 (Arabidopsis thaliana OX%3D3702);	372.739211961763	764.410686887806	1721.65328672287	336.064828789936	1188.11795003702	722.185442745979	839.823567878846	119.911084546822	palpon_mature
ANN00098	-0.9468709033526633	NSv0.8_hap2_LG1	maker	gene	8584181	8591294	.	+	.	ID=ANN00098;Note=Protein of unknown function;	12.1617493232401	3048.50162011689	41.5456905343088	739.451196131227	70.8117652680444	0.489514553436281	4.61392857321504	0.0	gastrozooid_mature
ANN00101	5.020126647364938	NSv0.8_hap2_LG1	maker	gene	8705421	8707409	.	-	.	ID=ANN00101;Note=Similar to spdl1-b: Protein Spindly-B (Xenopus laevis OX%3D8355);	60.7704365893184	24.7092062884982	14.1135986520403	63.3483569353686	68.6568007457893	699.925692411647	27.5053073402654	1021.60410055147	gonodendron_male_mature
ANN00103	6.8730169990356025	NSv0.8_hap2_LG1	maker	gene	8846244	8853400	.	+	.	ID=ANN00103;Note=Similar to Prdm9: Histone-lysine N-methyltransferase PRDM9 (Mus musculus OX%3D10090);	90.1484015609145	76.340071455108	74.0907318662007	146.744347582145	119.18254354409	139.161336799546	50.6972859011288	738.013324290143	gonodendron_male_mature
ANN00111	-1.996246609350588	NSv0.8_hap2_LG1	maker	gene	9383974	9384582	.	+	.	ID=ANN00111;Note=Similar to GPX7: Glutathione peroxidase 7 (Bos taurus OX%3D9913);	0.214246828335205	160.529865352543	0.916442313458748	205.050677680726	9.04210530702697	0.739930272834738	0.0	10.1467771850447	gastrozooid_developing
